date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
221130,exptREF,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_WH1_lib1_ref_S85_R1_001.fastq.gz
221130,exptREF,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_WH1_lib2_ref_S86_R1_001.fastq.gz
221130,expt1,Wuhan_Hu_1,lib12,S2V29,65,abneg,escape,expt1-S2V29-65-abneg,ab_selection,54400,0.0136,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_expt1_lib1_S89_R1_001.fastq.gz
221130,expt1,Wuhan_Hu_1,lib13,S2V29,65,abneg,escape,expt1-S2V29-65-abneg,ab_selection,51200,0.0128,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/221208_Omicron-Vir-RBM-mAbs_bc/221130_expt1_lib2_S90_R1_001.fastq.gz
230613,exptREF3,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X49_230712_A00421_0570_BHFTYKDRX3_S49_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X49_230712_A00421_0570_BHFTYKDRX3_S49_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X50_230712_A00421_0570_BHFTYKDRX3_S50_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X50_230712_A00421_0570_BHFTYKDRX3_S50_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X51_230712_A00421_0570_BHFTYKDRX3_S51_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X51_230712_A00421_0570_BHFTYKDRX3_S51_L002_R1_001.fastq.gz
230613,exptREF3,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X52_230712_A00421_0570_BHFTYKDRX3_S52_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X52_230712_A00421_0570_BHFTYKDRX3_S52_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X53_230712_A00421_0570_BHFTYKDRX3_S53_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X53_230712_A00421_0570_BHFTYKDRX3_S53_L002_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X54_230712_A00421_0570_BHFTYKDRX3_S54_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X54_230712_A00421_0570_BHFTYKDRX3_S54_L002_R1_001.fastq.gz
230613,expt3,Wuhan_Hu_1,lib12,S2V29_v37_2,91,abneg,escape,expt3-S2V29_v37_2-91-abneg,ab_selection,164000,0.041,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X5_230712_A00421_0570_BHFTYKDRX3_S5_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X5_230712_A00421_0570_BHFTYKDRX3_S5_L002_R1_001.fastq.gz
230613,expt3,Wuhan_Hu_1,lib13,S2V29_v37_2,91,abneg,escape,expt3-S2V29_v37_2-91-abneg,ab_selection,252000,0.063,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X6_230712_A00421_0570_BHFTYKDRX3_S6_L001_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230628_Aerium-Vir-mAbs_XBB-polish/21073R/Fastq/21073X6_230712_A00421_0570_BHFTYKDRX3_S6_L002_R1_001.fastq.gz
230512,exptREF2,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib1_presort_1_S29_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib1_presort_2_S30_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib1_presort_3_S31_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib1_presort_4_S32_R1_001.fastq.gz
230512,exptREF2,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib2_presort_1_S33_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib2_presort_2_S34_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib2_presort_3_S35_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_WH1_lib2_presort_4_S36_R1_001.fastq.gz
230512,expt2,Wuhan_Hu_1,lib12,S2K146,50,abneg,escape,expt2-S2K146-50-abneg,ab_selection,37200,0.0093,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_e2_r1_S3_R1_001.fastq.gz
230512,expt2,Wuhan_Hu_1,lib13,S2K146,50,abneg,escape,expt2-S2K146-50-abneg,ab_selection,64000,0.016,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/230531_Omicron-MAP_Vir-RBM_Aerium_bc/230512_e2_r2_S4_R1_001.fastq.gz
